Name,Crime,Past Criminal History,Currently on Probation,Currently Employed at Least Part Time,Age,sentence,Black Name
Jalen Washington,Possessing 6.8 pounds of heroin,"Previous conviction, sentenced to 6 months",No,Yes,22-30,Prison,True
Trevon Williams,Firing a gun at another individual (but missing),"Previous conviction, sentenced to 6 months",Yes,No,22-30,Prison,True
Garrett Riddle,"Forging checks worth a total of $5,000","Previous conviction, sentenced to 6 months",No,No,18-21,Prison,False
Alex Steele,"Forging checks from 12 different individuals worth a total of $600,000","Previous conviction, sentenced to 2 years",Yes,Yes,18-21,Prison,False
Austin Walsh,"Forging checks from 12 different individuals worth a total of $600,000","Previous conviction, sentenced to 6 months",No,No,15-17,Prison,False
Tyrone Brown,Possessing 1/3 of an ounce of heroin,"Previous conviction, sentenced to 6 months",Yes,Yes,18-21,Probation,True
Marquis Harris,Firing a gun at another individual (but missing),"Previous conviction, sentenced to 6 months",No,Yes,18-21,Prison,True
Alex Steele,"Forging checks from 12 different individuals worth a total of $600,000",No prior convictions,Yes,Yes,22-30,Prison,False
DeAndre Wilkins,Firing a gun at another individual (but missing),No prior convictions,Yes,No,18-21,Probation,True
Terrell Turner,Firing a gun at another individual (but missing),"Previous conviction, sentenced to 2 years",Yes,No,15-17,Prison,True
Austin Walsh,Possessing 1/3 of an ounce of heroin,"Previous conviction, sentenced to 6 months",No,Yes,15-17,Probation,False
Garrett Riddle,"Forging checks from 12 different individuals worth a total of $600,000",No prior convictions,No,No,18-21,Prison,False
Nicholas Austin,"Forging checks from 12 different individuals worth a total of $60,000","Previous conviction, sentenced to 6 months",No,Yes,15-17,Prison,False
Trevon Williams,Possessing 6.8 pounds of heroin,No prior convictions,No,No,18-21,Prison,True
Malik Johnson,"Forging checks worth a total of $5,000","Previous conviction, sentenced to 6 months",No,No,22-30,Prison,True
Darius Thomas,Threatening to pull a gun during a dispute with another individual,"Previous conviction, sentenced to 6 months",No,Yes,15-17,Prison,True
